escenario,nombre_html,nombre_xlsx,voto_html,voto_xlsx,provincia_html,provincia_xlsx,bloque_html,bloque_xlsx,familia_html,fuente_voto,fuente_distrito,confianza,cambia_provincia,cambia_voto,observaciones
YPF_SENADO,"PETCOFF NAIDENOFF, Luis Carlos","PETCOFF NAIDENOFF, LUIS CARLOS",AFIRMATIVO,AFIRMATIVO,Formosa,Formosa,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"PICHETTO, Miguel Ángel","PICHETTO, MIGUEL ÁNGEL",AFIRMATIVO,AFIRMATIVO,Río Negro,Río Negro,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"RACHED, Emilio Alberto","RACHED, EMILIO ALBERTO",AFIRMATIVO,AFIRMATIVO,Santiago del Estero,Santiago del Estero,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"REUTEMANN, Carlos Alberto","REUTEMANN, CARLOS ALBERTO",AFIRMATIVO,AFIRMATIVO,Santa Fe,Santa Fe,Santa Fe Federal,SANTA FE FEDERAL,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"RIOFRÍO, Marina Raquel","RIOFRÍO, MARINA RAQUEL",AFIRMATIVO,AFIRMATIVO,San Luis,San Juan,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"RODRÍGUEZ SAÁ, Adolfo","RODRÍGUEZ SAÁ, ADOLFO",NEGATIVO,NEGATIVO,San Luis,San Luis,Compromiso Federal,JUSTICIALISTA SAN LUIS,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"ROJKÉS DE ALPEROVICH, Beatriz Liliana","ROJKES DE ALPEROVICH, BEATRIZ LILIANA",AFIRMATIVO,AFIRMATIVO,Tucumán,Tucumán,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"ROLDÁN, José María","ROLDÁN, JOSÉ MARÍA",AFIRMATIVO,AFIRMATIVO,Corrientes,Corrientes,Frente de Todos,FRENTE DE TODOS,Otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"ROMERO, Juan Carlos","ROMERO, JUAN CARLOS",NEGATIVO,NEGATIVO,Salta,Salta,PJ Salta,JUSTICIALISTA 8 DE OCTUBRE,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"RUIZ DÍAZ, Elsa Beatriz","RUIZ DIAZ, ELSA B.",AFIRMATIVO,AFIRMATIVO,Corrientes,Entre Ríos,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,SI,NO,
YPF_SENADO,"SANZ, Ernesto Ricardo","SANZ, ERNESTO RICARDO",AFIRMATIVO,AFIRMATIVO,Mendoza,Mendoza,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"VERANI, Pablo","VERANI, PABLO",AFIRMATIVO,AFIRMATIVO,Misiones,Río Negro,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"VERA, Arturo","VERA, ARTURO",AFIRMATIVO,AFIRMATIVO,Misiones,Entre Ríos,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"VERNA, Carlos Alberto","VERNA, CARLOS ALBERTO",AFIRMATIVO,AFIRMATIVO,La Pampa,La Pampa,PJ La Pampa,PARTIDO JUSTICIALISTA LA PAMPA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
